LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../submit_files/condorfiles/LO/result_WR3000_N500/WRtoNLtoLLJJ_WR3000_N500.log,0.01106,0.0001178,../submit_files/condorfiles/NLO/result_WR3000_N500_NLO/WRtoNLtoLLJJ_WR3000_N500_NLO.log,0.01435,1.4e-05,1.2974683544303798
../submit_files/condorfiles/LO/result_WR3000_N600/WRtoNLtoLLJJ_WR3000_N600.log,0.01081,0.0001134,../submit_files/condorfiles/NLO/result_WR3000_N600_NLO/WRtoNLtoLLJJ_WR3000_N600_NLO.log,0.01396,1.3e-05,1.2913968547641073
../submit_files/condorfiles/LO/result_WR3000_N700/WRtoNLtoLLJJ_WR3000_N700.log,0.01043,0.0001701,../submit_files/condorfiles/NLO/result_WR3000_N700_NLO/WRtoNLtoLLJJ_WR3000_N700_NLO.log,0.01355,1.1e-05,1.2991371045062319
../submit_files/condorfiles/LO/result_WR3000_N800/WRtoNLtoLLJJ_WR3000_N800.log,0.01006,0.0001559,../submit_files/condorfiles/NLO/result_WR3000_N800_NLO/WRtoNLtoLLJJ_WR3000_N800_NLO.log,0.0131,1.1e-05,1.3021868787276343
../submit_files/condorfiles/LO/result_WR3000_N900/WRtoNLtoLLJJ_WR3000_N900.log,0.009618,9.273e-05,../submit_files/condorfiles/NLO/result_WR3000_N900_NLO/WRtoNLtoLLJJ_WR3000_N900_NLO.log,0.01265,9.8e-06,1.315242254106883
../submit_files/condorfiles/LO/result_WR3000_N1000/WRtoNLtoLLJJ_WR3000_N1000.log,0.009219,0.0001002,../submit_files/condorfiles/NLO/result_WR3000_N1000_NLO/WRtoNLtoLLJJ_WR3000_N1000_NLO.log,0.01218,1.2e-05,1.3211845102505695
../submit_files/condorfiles/LO/result_WR3000_N1100/WRtoNLtoLLJJ_WR3000_N1100.log,0.008781,0.000117,../submit_files/condorfiles/NLO/result_WR3000_N1100_NLO/WRtoNLtoLLJJ_WR3000_N1100_NLO.log,0.01168,1.1e-05,1.3301446304521123
../submit_files/condorfiles/LO/result_WR3000_N1200/WRtoNLtoLLJJ_WR3000_N1200.log,0.008424,0.0001102,../submit_files/condorfiles/NLO/result_WR3000_N1200_NLO/WRtoNLtoLLJJ_WR3000_N1200_NLO.log,0.01114,1.1e-05,1.3224121557454893
../submit_files/condorfiles/LO/result_WR3000_N1300/WRtoNLtoLLJJ_WR3000_N1300.log,0.008025,4.65e-05,../submit_files/condorfiles/NLO/result_WR3000_N1300_NLO/WRtoNLtoLLJJ_WR3000_N1300_NLO.log,0.01058,1e-05,1.3183800623052961
../submit_files/condorfiles/LO/result_WR3000_N1400/WRtoNLtoLLJJ_WR3000_N1400.log,0.007427,9.021e-05,../submit_files/condorfiles/NLO/result_WR3000_N1400_NLO/WRtoNLtoLLJJ_WR3000_N1400_NLO.log,0.009984,9.6e-06,1.3442843678470446
../submit_files/condorfiles/LO/result_WR3000_N1500/WRtoNLtoLLJJ_WR3000_N1500.log,0.006994,5.355e-05,../submit_files/condorfiles/NLO/result_WR3000_N1500_NLO/WRtoNLtoLLJJ_WR3000_N1500_NLO.log,0.009359,8.9e-06,1.3381469831283956
../submit_files/condorfiles/LO/result_WR3000_N1600/WRtoNLtoLLJJ_WR3000_N1600.log,0.00654,3.492e-05,../submit_files/condorfiles/NLO/result_WR3000_N1600_NLO/WRtoNLtoLLJJ_WR3000_N1600_NLO.log,0.008695,8e-06,1.3295107033639144
../submit_files/condorfiles/LO/result_WR3000_N1700/WRtoNLtoLLJJ_WR3000_N1700.log,0.006005,4.429e-05,../submit_files/condorfiles/NLO/result_WR3000_N1700_NLO/WRtoNLtoLLJJ_WR3000_N1700_NLO.log,0.008003,7e-06,1.332722731057452
../submit_files/condorfiles/LO/result_WR3000_N1800/WRtoNLtoLLJJ_WR3000_N1800.log,0.005495,4.151e-05,../submit_files/condorfiles/NLO/result_WR3000_N1800_NLO/WRtoNLtoLLJJ_WR3000_N1800_NLO.log,0.007293,6.9e-06,1.327206551410373
../submit_files/condorfiles/LO/result_WR3000_N1900/WRtoNLtoLLJJ_WR3000_N1900.log,0.004926,5.67e-05,../submit_files/condorfiles/NLO/result_WR3000_N1900_NLO/WRtoNLtoLLJJ_WR3000_N1900_NLO.log,0.006555,6.1e-06,1.330694275274056
../submit_files/condorfiles/LO/result_WR3000_N2000/WRtoNLtoLLJJ_WR3000_N2000.log,0.004365,2.795e-05,../submit_files/condorfiles/NLO/result_WR3000_N2000_NLO/WRtoNLtoLLJJ_WR3000_N2000_NLO.log,0.005796,5.5e-06,1.3278350515463917
../submit_files/condorfiles/LO/result_WR3000_N2100/WRtoNLtoLLJJ_WR3000_N2100.log,0.003777,2.309e-05,../submit_files/condorfiles/NLO/result_WR3000_N2100_NLO/WRtoNLtoLLJJ_WR3000_N2100_NLO.log,0.005023,4.6e-06,1.3298914482393434
../submit_files/condorfiles/LO/result_WR3000_N2200/WRtoNLtoLLJJ_WR3000_N2200.log,0.003181,3.178e-05,../submit_files/condorfiles/NLO/result_WR3000_N2200_NLO/WRtoNLtoLLJJ_WR3000_N2200_NLO.log,0.00425,4e-06,1.3360578434454575
